,index,product,category,sub_category,brand,sale_price,market_price,type,rating
0,373,Camne Vid,"Kitchen, Garden & Pets",Skin Care,Madhur,371.61,919.28,Ayurveda,
1,731,Pre Shave Foam - Classic Lemon Lime,Gourmet & World Food,Crockery & Cutlery,True Elements,122.4,221.66,Attar,5.0
2,427,Chia Seeds,Gourmet & World Food,Organic Staples,Engage,234.27,302.43,"Flavoured, Soya Milk",
3,22,4mm Aluminium Kadai With Handle - Silver,"Kitchen, Garden & Pets",Storage & Accessories,BB Home,161.28,352.2,"Baking, Cake Decorations",3.6
4,377,Mint Seasoning,"Eggs, Meat & Fish","Cookies, Rusk & Khari",Aashirvaad,101.76,105.14,"Chocolate, Peanut Spread",4.1
5,345,Garlic Oil - Vegetarian Capsule 500 mg,Beauty & Hygiene,Health & Medicine,DP,50.98,220.95,Body Care,4.3
6,451,Dark Chocolate- 55% Rich In Cocoa,Beauty & Hygiene,Skin Care,Aaha Oho,116.97,544.36,Namkeen & Savoury Snacks,3.4
7,187,Pasta - 37B Penne Rigate,"Kitchen, Garden & Pets",Cookware & Non Stick,Le Kaviraj,356.59,450.36,Water & Fridge Bottles,
8,720,"Bathing Bar Soap - Germ Protection, Original","Kitchen, Garden & Pets",Bath & Hand Wash,Dr Batra's ,101.99,167.78,Containers Sets,4.6
9,817,"Ultra-Fresh Fairness Face Wash With Milk, Licorice, Saffron",Cleaning & Household,Fresh Vegetables,Vauva,175.21,35.54,Tawa & Sauce Pan,
10,73,Diamond Skin Brightening Kit - Consumer Pack,"Kitchen, Garden & Pets",Tinned & Processed Food,Malabar Coast,363.22,738.44,Exotic & Flavoured Tea,
11,511,"Deccan Gold - Premium Filter Coffee, 80:20 Blend","Kitchen, Garden & Pets",All Purpose Cleaners,Bombay Shaving Company,256.52,537.12,Cream Biscuits & Wafers,
12,427,Premium Californian Roasted & Salted Pistachios - Value Pack,Cleaning & Household,Snacks & Namkeen,Dabur,70.5,55.3,Toothpaste,4.4
